match_round,home_team,away_team,referee,source,synced_at
2,Crystal Palace,Manchester City,Andy Madley,Premier League Matchweek 2 appointments,2026-08-27T16:50:00
2,Liverpool,Nottingham Forest,Sam Barrott,Premier League Matchweek 2 appointments,2026-08-27T16:50:00
2,Bournemouth,Everton,Chris Kavanagh,Premier League Matchweek 2 appointments,2026-08-27T16:50:00
2,Coventry,Hull,Josh Smith,Premier League Matchweek 2 appointments,2026-08-27T16:50:00
2,Tottenham,Newcastle United,Peter Bankes,Premier League Matchweek 2 appointments,2026-08-27T16:50:00
2,Chelsea,Brighton & Hove Albion,Michael Oliver,Premier League Matchweek 2 appointments,2026-08-27T16:50:00
2,Leeds,Brentford,Tony Harrington,Premier League Matchweek 2 appointments,2026-08-27T16:50:00
2,Sunderland,Fulham,Michael Salisbury,Premier League Matchweek 2 appointments,2026-08-27T16:50:00
2,Manchester United,Ipswich,Craig Pawson,Premier League Matchweek 2 appointments,2026-08-27T16:50:00
2,Aston Villa,Arsenal,Jarred Gillett,Premier League Matchweek 2 appointments,2026-08-27T16:50:00
