season,referee,matches,fouls_avg,yellow_avg,red_avg,home_fouls_avg,away_fouls_avg,last5_fouls_avg,last5_yellow_avg
2026-27,A Herczeg,1,22.0,5.0,0.0,10.0,12.0,22.0,5.0
2026-27,A Madley,3,21.0,4.0,0.0,9.666666666666666,11.333333333333334,21.0,4.0
2026-27,C Kavanagh,3,25.333333333333332,5.0,0.3333333333333333,10.0,15.333333333333334,25.333333333333332,5.0
2026-27,C Pawson,2,27.5,4.0,0.0,14.5,13.0,27.5,4.0
2026-27,D England,4,21.0,3.5,0.0,10.75,10.25,21.0,3.5
2026-27,F Hallam,2,22.5,4.5,0.0,9.5,13.0,22.5,4.5
2026-27,J Brooks,3,22.0,6.333333333333333,0.3333333333333333,12.333333333333334,9.666666666666666,22.0,6.333333333333333
2026-27,J Gillett,4,22.5,3.75,0.0,12.5,10.0,22.5,3.75
2026-27,J Smith,1,19.0,5.0,0.0,11.0,8.0,19.0,5.0
2026-27,M Oliver,5,23.0,2.8,0.2,12.2,10.8,23.0,2.8
2026-27,M Salisbury,2,23.0,2.5,0.0,9.0,14.0,23.0,2.5
2026-27,P Bankes,3,20.333333333333332,3.6666666666666665,0.3333333333333333,12.0,8.333333333333334,20.333333333333332,3.6666666666666665
2026-27,P Tierney,2,22.0,2.0,0.0,6.0,16.0,22.0,2.0
2026-27,R Jones,3,31.0,3.0,0.0,16.0,15.0,31.0,3.0
2026-27,S Attwell,3,26.0,5.666666666666667,0.3333333333333333,11.666666666666666,14.333333333333334,26.0,5.666666666666667
2026-27,S Barrott,3,19.333333333333332,3.0,0.0,9.333333333333334,10.0,19.333333333333332,3.0
2026-27,T Bramall,3,23.333333333333332,2.6666666666666665,0.0,13.333333333333334,10.0,23.333333333333332,2.6666666666666665
2026-27,T Harrington,3,18.666666666666668,3.0,0.3333333333333333,6.0,12.666666666666666,18.666666666666668,3.0
