season,team,matches,position,points,ppg,goals_for_avg,goals_against_avg,shots_for_avg,shots_against_avg,shots_on_target_for_avg,shots_on_target_against_avg,fouls_committed_avg,fouls_suffered_avg,corners_for_avg,corners_against_avg,yellow_cards_avg,yellow_cards_opponent_avg,xg_for_avg,xg_against_avg,last5_points_avg,last5_fouls_committed_avg,last5_fouls_suffered_avg,last5_corners_for_avg,last5_corners_against_avg,last5_yellow_cards_avg
2026-27,Arsenal,1,2,3,3.0,3.0,0.0,20.0,4.0,6.0,1.0,10.0,13.0,8.0,2.0,1.0,1.0,1.88,0.2,3.0,10.0,13.0,8.0,2.0,1.0
2026-27,Aston Villa,1,20,0,0.0,0.0,4.0,6.0,21.0,0.0,6.0,11.0,12.0,2.0,5.0,3.0,2.0,0.28,3.77,0.0,11.0,12.0,2.0,5.0,3.0
2026-27,Bournemouth,1,13,0,0.0,1.0,2.0,5.0,13.0,4.0,6.0,11.0,11.0,3.0,8.0,2.0,1.0,0.63,2.36,0.0,11.0,11.0,3.0,8.0,2.0
2026-27,Brentford,1,3,3,3.0,3.0,0.0,26.0,9.0,8.0,4.0,17.0,14.0,7.0,3.0,1.0,1.0,3.88,0.57,3.0,17.0,14.0,7.0,3.0,1.0
2026-27,Brighton & Hove Albion,1,1,3,3.0,4.0,0.0,21.0,6.0,6.0,0.0,12.0,11.0,5.0,2.0,2.0,3.0,3.77,0.28,3.0,12.0,11.0,5.0,2.0,2.0
2026-27,Chelsea,1,6,3,3.0,3.0,2.0,18.0,14.0,6.0,6.0,7.0,12.0,4.0,6.0,3.0,2.0,1.7,1.35,3.0,7.0,12.0,4.0,6.0,3.0
2026-27,Coventry,1,18,0,0.0,0.0,3.0,4.0,20.0,1.0,6.0,13.0,10.0,2.0,8.0,1.0,1.0,0.2,1.88,0.0,13.0,10.0,2.0,8.0,1.0
2026-27,Crystal Palace,1,16,0,0.0,0.0,2.0,11.0,16.0,4.0,5.0,15.0,5.0,0.0,4.0,1.0,0.0,1.96,1.12,0.0,15.0,5.0,0.0,4.0,1.0
2026-27,Everton,1,4,3,3.0,2.0,0.0,16.0,11.0,5.0,4.0,5.0,15.0,4.0,0.0,0.0,1.0,1.12,1.96,3.0,5.0,15.0,4.0,0.0,0.0
2026-27,Fulham,1,12,0,0.0,2.0,3.0,14.0,18.0,6.0,6.0,12.0,7.0,6.0,4.0,2.0,3.0,1.35,1.7,0.0,12.0,7.0,6.0,4.0,2.0
2026-27,Hull,1,5,3,3.0,2.0,0.0,8.0,21.0,4.0,5.0,10.0,9.0,1.0,6.0,2.0,1.0,1.01,1.83,3.0,10.0,9.0,1.0,6.0,2.0
2026-27,Ipswich,1,7,3,3.0,2.0,1.0,10.0,11.0,3.0,4.0,12.0,14.0,3.0,5.0,0.0,3.0,1.8,0.66,3.0,12.0,14.0,3.0,5.0,0.0
2026-27,Leeds,1,9,3,3.0,1.0,0.0,11.0,12.0,3.0,2.0,14.0,15.0,2.0,3.0,1.0,2.0,0.47,0.66,3.0,14.0,15.0,2.0,3.0,1.0
2026-27,Liverpool,1,10,1,1.0,2.0,2.0,27.0,13.0,7.0,4.0,15.0,16.0,6.0,2.0,3.0,5.0,2.98,1.57,1.0,15.0,16.0,6.0,2.0,3.0
2026-27,Manchester City,1,8,3,3.0,2.0,1.0,13.0,5.0,6.0,4.0,11.0,11.0,8.0,3.0,1.0,2.0,2.36,0.63,3.0,11.0,11.0,8.0,3.0,1.0
2026-27,Manchester United,1,17,0,0.0,0.0,2.0,21.0,8.0,5.0,4.0,9.0,10.0,6.0,1.0,1.0,2.0,1.83,1.01,0.0,9.0,10.0,6.0,1.0,1.0
2026-27,Newcastle United,1,11,1,1.0,2.0,2.0,13.0,27.0,4.0,7.0,16.0,15.0,2.0,6.0,5.0,3.0,1.57,2.98,1.0,16.0,15.0,2.0,6.0,5.0
2026-27,Nottingham Forest,1,15,0,0.0,0.0,1.0,12.0,11.0,2.0,3.0,15.0,14.0,3.0,2.0,2.0,1.0,0.66,0.47,0.0,15.0,14.0,3.0,2.0,2.0
2026-27,Sunderland,1,14,0,0.0,1.0,2.0,11.0,10.0,4.0,3.0,14.0,12.0,5.0,3.0,3.0,0.0,0.66,1.8,0.0,14.0,12.0,5.0,3.0,3.0
2026-27,Tottenham,1,19,0,0.0,0.0,3.0,9.0,26.0,4.0,8.0,14.0,17.0,3.0,7.0,1.0,1.0,0.57,3.88,0.0,14.0,17.0,3.0,7.0,1.0
