season,as_of_date,referee,window,matches_used,fouls_avg,home_fouls_avg,away_fouls_avg,yellow_avg,red_avg
2022-23,2022-08-06,A Madley,3,1,16.0,7.0,9.0,2.0,0.0
2022-23,2022-08-06,A Madley,5,1,16.0,7.0,9.0,2.0,0.0
2022-23,2022-08-06,A Madley,10,1,16.0,7.0,9.0,2.0,0.0
2022-23,2022-08-20,A Madley,3,2,23.0,11.5,11.5,2.5,0.0
2022-23,2022-08-20,A Madley,5,2,23.0,11.5,11.5,2.5,0.0
2022-23,2022-08-20,A Madley,10,2,23.0,11.5,11.5,2.5,0.0
2022-23,2022-08-27,A Madley,3,3,21.333333333333332,9.0,12.333333333333334,2.6666666666666665,0.0
2022-23,2022-08-27,A Madley,5,3,21.333333333333332,9.0,12.333333333333334,2.6666666666666665,0.0
2022-23,2022-08-27,A Madley,10,3,21.333333333333332,9.0,12.333333333333334,2.6666666666666665,0.0
2022-23,2022-09-03,A Madley,3,3,21.666666666666668,8.666666666666666,13.0,4.0,0.0
2022-23,2022-09-03,A Madley,5,4,20.25,8.25,12.0,3.5,0.0
2022-23,2022-09-03,A Madley,10,4,20.25,8.25,12.0,3.5,0.0
2022-23,2022-10-01,A Madley,3,3,19.0,6.333333333333333,12.666666666666666,3.6666666666666665,0.0
2022-23,2022-10-01,A Madley,5,5,20.6,8.4,12.2,3.2,0.0
2022-23,2022-10-01,A Madley,10,5,20.6,8.4,12.2,3.2,0.0
2022-23,2022-10-08,A Madley,3,3,17.0,6.333333333333333,10.666666666666666,3.0,0.0
2022-23,2022-10-08,A Madley,5,5,19.8,7.8,12.0,3.0,0.0
2022-23,2022-10-08,A Madley,10,6,19.166666666666668,7.666666666666667,11.5,2.8333333333333335,0.0
2022-23,2022-10-15,A Madley,3,3,21.666666666666668,10.333333333333334,11.333333333333334,2.3333333333333335,0.0
2022-23,2022-10-15,A Madley,5,5,20.0,8.2,11.8,3.2,0.0
2022-23,2022-10-15,A Madley,10,7,20.857142857142858,9.142857142857142,11.714285714285714,3.0,0.0
2022-23,2022-10-29,A Madley,3,3,21.666666666666668,12.666666666666666,9.0,2.6666666666666665,0.0
2022-23,2022-10-29,A Madley,5,5,20.8,10.6,10.2,3.2,0.0
2022-23,2022-10-29,A Madley,10,8,21.0,10.0,11.0,3.0,0.0
2022-23,2022-11-06,A Madley,3,3,23.666666666666668,14.666666666666666,9.0,2.3333333333333335,0.0
2022-23,2022-11-06,A Madley,5,5,21.0,11.4,9.6,2.0,0.0
2022-23,2022-11-06,A Madley,10,9,20.666666666666668,10.0,10.666666666666666,2.6666666666666665,0.0
2022-23,2022-12-26,A Madley,3,3,22.333333333333332,12.666666666666666,9.666666666666666,1.0,0.6666666666666666
2022-23,2022-12-26,A Madley,5,5,22.0,12.0,10.0,1.6,0.4
2022-23,2022-12-26,A Madley,10,10,21.3,10.2,11.1,2.4,0.2
2022-23,2022-12-31,A Madley,3,3,24.0,11.666666666666666,12.333333333333334,2.3333333333333335,0.6666666666666666
2022-23,2022-12-31,A Madley,5,5,25.0,13.8,11.2,2.8,0.4
2022-23,2022-12-31,A Madley,10,10,22.4,10.8,11.6,2.9,0.2
2022-23,2023-01-03,A Madley,3,3,26.666666666666668,11.666666666666666,15.0,5.0,0.6666666666666666
2022-23,2023-01-03,A Madley,5,5,24.0,12.2,11.8,3.6,0.4
2022-23,2023-01-03,A Madley,10,10,22.0,10.2,11.8,3.4,0.2
2022-23,2023-01-21,A Madley,3,3,23.333333333333332,11.0,12.333333333333334,6.0,0.0
2022-23,2023-01-21,A Madley,5,5,23.0,11.0,12.0,3.6,0.4
2022-23,2023-01-21,A Madley,10,10,21.9,10.8,11.1,3.4,0.2
2022-23,2023-02-05,A Madley,3,3,25.333333333333332,13.0,12.333333333333334,5.333333333333333,0.3333333333333333
2022-23,2023-02-05,A Madley,5,5,26.0,12.8,13.2,4.6,0.6
2022-23,2023-02-05,A Madley,10,10,23.5,12.1,11.4,3.3,0.3
2022-23,2023-02-11,A Madley,3,3,23.333333333333332,12.666666666666666,10.666666666666666,3.0,0.3333333333333333
2022-23,2023-02-11,A Madley,5,5,24.6,12.2,12.4,4.8,0.2
2022-23,2023-02-11,A Madley,10,10,23.3,12.1,11.2,3.2,0.3
2022-23,2023-02-18,A Madley,3,3,22.333333333333332,12.0,10.333333333333334,3.6666666666666665,0.3333333333333333
2022-23,2023-02-18,A Madley,5,5,22.0,11.2,10.8,4.4,0.2
