referee_id,referee_name,first_season,last_season,active
1,A Herczeg,2026-27,2026-27,1
2,A Kitchen,2024-25,2025-26,0
3,A Madley,2022-23,2026-27,1
4,A Marriner,2022-23,2022-23,0
5,A Taylor,2022-23,2025-26,0
6,C Kavanagh,2022-23,2026-27,1
7,C Pawson,2022-23,2026-27,1
8,D Bond,2022-23,2024-25,0
9,D Coote,2022-23,2024-25,0
10,D England,2022-23,2026-27,1
11,D Webb,2024-25,2024-25,0
12,F Hallam,2025-26,2026-27,1
13,G Scott,2022-23,2023-24,0
14,J Brooks,2022-23,2026-27,1
15,J Gillett,2022-23,2026-27,1
16,J Smith,2022-23,2026-27,1
17,K Kavanagh,2024-25,2024-25,0
18,L Smith,2023-24,2025-26,0
19,M Donohue,2023-24,2025-26,0
20,M Oliver,2022-23,2026-27,1
21,M Salisbury,2022-23,2026-27,1
22,O Oliver,2024-25,2024-25,0
23,P Bankes,2022-23,2026-27,1
24,P Tierney,2022-23,2026-27,1
25,R Jones,2022-23,2026-27,1
26,R Madley,2022-23,2023-24,0
27,R Welch,2023-24,2023-24,0
28,S Allison,2023-24,2024-25,0
29,S Attwell,2022-23,2026-27,1
30,S Barrott,2023-24,2026-27,1
31,S Hooper,2022-23,2025-26,0
32,S Singh,2023-24,2023-24,0
33,T Bramall,2022-23,2026-27,1
34,T Harrington,2022-23,2026-27,1
35,T Kirk,2025-26,2025-26,0
36,T Robinson,2022-23,2025-26,0
