team_id,team_name,first_season,last_season,active
1,Arsenal,2022-23,2026-27,1
2,Aston Villa,2022-23,2026-27,1
3,Bournemouth,2022-23,2026-27,1
4,Brentford,2022-23,2026-27,1
5,Brighton & Hove Albion,2022-23,2026-27,1
6,Burnley,2023-24,2025-26,0
7,Chelsea,2022-23,2026-27,1
8,Coventry,2026-27,2026-27,1
9,Crystal Palace,2022-23,2026-27,1
10,Everton,2022-23,2026-27,1
11,Fulham,2022-23,2026-27,1
12,Hull,2026-27,2026-27,1
13,Ipswich,2024-25,2026-27,1
14,Leeds,2022-23,2026-27,1
15,Leicester,2022-23,2024-25,0
16,Liverpool,2022-23,2026-27,1
17,Luton,2023-24,2023-24,0
18,Manchester City,2022-23,2026-27,1
19,Manchester United,2022-23,2026-27,1
20,Newcastle United,2022-23,2026-27,1
21,Nottingham Forest,2022-23,2026-27,1
22,Sheffield United,2023-24,2023-24,0
23,Southampton,2022-23,2024-25,0
24,Sunderland,2025-26,2026-27,1
25,Tottenham,2022-23,2026-27,1
26,West Ham United,2022-23,2025-26,0
27,Wolverhampton Wanderers,2022-23,2025-26,0
