name,type,feature_group,is_target
match_id,TEXT,identifier,False
season,TEXT,identifier,False
match_date,TEXT,identifier,False
team,TEXT,identifier,False
opponent,TEXT,identifier,False
venue,TEXT,identifier,False
referee,TEXT,identifier,False
matches_before,INTEGER,team_season_pre_match,False
points_before,REAL,team_season_pre_match,False
ppg_before,REAL,team_season_pre_match,False
gf_before,REAL,team_season_pre_match,False
ga_before,REAL,team_season_pre_match,False
goal_diff_before,REAL,team_season_pre_match,False
days_rest,REAL,team_season_pre_match,False
season_goals_for_avg,REAL,team_season_pre_match,False
season_goals_against_avg,REAL,team_season_pre_match,False
season_shots_for_avg,REAL,team_season_pre_match,False
season_shots_against_avg,REAL,team_season_pre_match,False
season_shots_on_target_for_avg,REAL,team_season_pre_match,False
season_shots_on_target_against_avg,REAL,team_season_pre_match,False
season_fouls_committed_avg,REAL,team_season_pre_match,False
season_fouls_suffered_avg,REAL,team_season_pre_match,False
season_corners_for_avg,REAL,team_season_pre_match,False
season_corners_against_avg,REAL,team_season_pre_match,False
season_yellow_cards_avg,REAL,team_season_pre_match,False
season_yellow_cards_opponent_avg,REAL,team_season_pre_match,False
season_red_cards_avg,REAL,team_season_pre_match,False
season_xg_for_avg,REAL,team_season_pre_match,False
season_xg_against_avg,REAL,team_season_pre_match,False
venue_matches_before,INTEGER,team_venue_pre_match,False
venue_goals_for_avg,REAL,team_venue_pre_match,False
venue_goals_against_avg,REAL,team_venue_pre_match,False
venue_shots_for_avg,REAL,team_venue_pre_match,False
venue_shots_against_avg,REAL,team_venue_pre_match,False
venue_shots_on_target_for_avg,REAL,team_venue_pre_match,False
venue_shots_on_target_against_avg,REAL,team_venue_pre_match,False
venue_fouls_committed_avg,REAL,team_venue_pre_match,False
venue_fouls_suffered_avg,REAL,team_venue_pre_match,False
venue_corners_for_avg,REAL,team_venue_pre_match,False
venue_corners_against_avg,REAL,team_venue_pre_match,False
venue_yellow_cards_avg,REAL,team_venue_pre_match,False
venue_xg_for_avg,REAL,team_venue_pre_match,False
venue_xg_against_avg,REAL,team_venue_pre_match,False
last3_points_avg,REAL,team_recent_pre_match,False
last3_goals_for_avg,REAL,team_recent_pre_match,False
last3_goals_against_avg,REAL,team_recent_pre_match,False
last3_shots_for_avg,REAL,team_recent_pre_match,False
last3_shots_against_avg,REAL,team_recent_pre_match,False
last3_shots_on_target_for_avg,REAL,team_recent_pre_match,False
last3_shots_on_target_against_avg,REAL,team_recent_pre_match,False
last3_fouls_committed_avg,REAL,team_recent_pre_match,False
last3_fouls_suffered_avg,REAL,team_recent_pre_match,False
last3_corners_for_avg,REAL,team_recent_pre_match,False
last3_corners_against_avg,REAL,team_recent_pre_match,False
last3_yellow_cards_avg,REAL,team_recent_pre_match,False
last3_yellow_cards_opponent_avg,REAL,team_recent_pre_match,False
last3_xg_for_avg,REAL,team_recent_pre_match,False
last3_xg_against_avg,REAL,team_recent_pre_match,False
last5_points_avg,REAL,team_recent_pre_match,False
last5_goals_for_avg,REAL,team_recent_pre_match,False
last5_goals_against_avg,REAL,team_recent_pre_match,False
last5_shots_for_avg,REAL,team_recent_pre_match,False
last5_shots_against_avg,REAL,team_recent_pre_match,False
last5_shots_on_target_for_avg,REAL,team_recent_pre_match,False
last5_shots_on_target_against_avg,REAL,team_recent_pre_match,False
last5_fouls_committed_avg,REAL,team_recent_pre_match,False
last5_fouls_suffered_avg,REAL,team_recent_pre_match,False
last5_corners_for_avg,REAL,team_recent_pre_match,False
last5_corners_against_avg,REAL,team_recent_pre_match,False
last5_yellow_cards_avg,REAL,team_recent_pre_match,False
last5_yellow_cards_opponent_avg,REAL,team_recent_pre_match,False
last5_xg_for_avg,REAL,team_recent_pre_match,False
last5_xg_against_avg,REAL,team_recent_pre_match,False
last10_points_avg,REAL,team_recent_pre_match,False
last10_goals_for_avg,REAL,team_recent_pre_match,False
last10_goals_against_avg,REAL,team_recent_pre_match,False
last10_shots_for_avg,REAL,team_recent_pre_match,False
last10_shots_against_avg,REAL,team_recent_pre_match,False
last10_shots_on_target_for_avg,REAL,team_recent_pre_match,False
last10_shots_on_target_against_avg,REAL,team_recent_pre_match,False
last10_fouls_committed_avg,REAL,team_recent_pre_match,False
last10_fouls_suffered_avg,REAL,team_recent_pre_match,False
last10_corners_for_avg,REAL,team_recent_pre_match,False
last10_corners_against_avg,REAL,team_recent_pre_match,False
last10_yellow_cards_avg,REAL,team_recent_pre_match,False
last10_yellow_cards_opponent_avg,REAL,team_recent_pre_match,False
last10_xg_for_avg,REAL,team_recent_pre_match,False
last10_xg_against_avg,REAL,team_recent_pre_match,False
pl_matches_before,INTEGER,team_cross_season_pre_match,False
days_since_last_pl_match,REAL,team_cross_season_pre_match,False
pl_last5_fouls_committed_avg,REAL,team_cross_season_pre_match,False
pl_last5_fouls_suffered_avg,REAL,team_cross_season_pre_match,False
pl_last5_corners_for_avg,REAL,team_cross_season_pre_match,False
pl_last5_corners_against_avg,REAL,team_cross_season_pre_match,False
pl_last5_yellow_cards_avg,REAL,team_cross_season_pre_match,False
pl_last5_points_avg,REAL,team_cross_season_pre_match,False
position_before,INTEGER,team_season_pre_match,False
table_points_before,INTEGER,team_season_pre_match,False
table_gd_before,INTEGER,team_season_pre_match,False
table_played_before,INTEGER,team_season_pre_match,False
referee_matches_before,INTEGER,referee_pre_match,False
referee_home_fouls_avg_before,REAL,referee_pre_match,False
referee_away_fouls_avg_before,REAL,referee_pre_match,False
referee_total_fouls_avg_before,REAL,referee_pre_match,False
referee_last5_total_fouls_avg_before,REAL,referee_pre_match,False
referee_last10_total_fouls_avg_before,REAL,referee_pre_match,False
referee_home_yellow_avg_before,REAL,referee_pre_match,False
referee_away_yellow_avg_before,REAL,referee_pre_match,False
referee_total_yellow_avg_before,REAL,referee_pre_match,False
referee_last5_total_yellow_avg_before,REAL,referee_pre_match,False
referee_last10_total_yellow_avg_before,REAL,referee_pre_match,False
referee_total_red_avg_before,REAL,referee_pre_match,False
referee_pl_matches_before,INTEGER,referee_pre_match,False
referee_pl_total_fouls_avg_before,REAL,referee_pre_match,False
referee_pl_last10_total_fouls_avg_before,REAL,referee_pre_match,False
referee_pl_total_yellow_avg_before,REAL,referee_pre_match,False
referee_pl_last10_total_yellow_avg_before,REAL,referee_pre_match,False
referee_pl_total_red_avg_before,REAL,referee_pre_match,False
referee_pl_home_fouls_avg_before,REAL,referee_pre_match,False
referee_pl_away_fouls_avg_before,REAL,referee_pre_match,False
league_matches_before,REAL,league_pre_match,False
league_total_goals_avg_before,REAL,league_pre_match,False
league_total_fouls_avg_before,REAL,league_pre_match,False
league_total_corners_avg_before,REAL,league_pre_match,False
league_total_yellow_avg_before,REAL,league_pre_match,False
home_fouls_avg_before,REAL,team_season_pre_match,False
away_fouls_avg_before,REAL,team_season_pre_match,False
home_yellow_avg_before,REAL,team_season_pre_match,False
away_yellow_avg_before,REAL,team_season_pre_match,False
pl_last20_league_total_fouls_avg_before,REAL,league_pre_match,False
pl_last20_league_total_yellow_avg_before,REAL,league_pre_match,False
pl_last20_league_total_corners_avg_before,REAL,league_pre_match,False
pl_last20_league_total_goals_avg_before,REAL,league_pre_match,False
h2h_matches_before,INTEGER,h2h_pre_match,False
h2h_fouls_committed_avg_before,REAL,h2h_pre_match,False
h2h_last3_fouls_committed_avg_before,REAL,h2h_pre_match,False
h2h_fouls_suffered_avg_before,REAL,h2h_pre_match,False
h2h_last3_fouls_suffered_avg_before,REAL,h2h_pre_match,False
h2h_corners_for_avg_before,REAL,h2h_pre_match,False
h2h_last3_corners_for_avg_before,REAL,h2h_pre_match,False
h2h_corners_against_avg_before,REAL,h2h_pre_match,False
h2h_last3_corners_against_avg_before,REAL,h2h_pre_match,False
h2h_yellow_cards_avg_before,REAL,h2h_pre_match,False
h2h_last3_yellow_cards_avg_before,REAL,h2h_pre_match,False
h2h_yellow_cards_opponent_avg_before,REAL,h2h_pre_match,False
h2h_last3_yellow_cards_opponent_avg_before,REAL,h2h_pre_match,False
opp_matches_before,INTEGER,opponent_pre_match,False
opp_points_before,REAL,opponent_pre_match,False
opp_ppg_before,REAL,opponent_pre_match,False
opp_gf_before,REAL,opponent_pre_match,False
opp_ga_before,REAL,opponent_pre_match,False
opp_goal_diff_before,REAL,opponent_pre_match,False
opp_days_rest,REAL,opponent_pre_match,False
opp_season_goals_for_avg,REAL,opponent_pre_match,False
opp_season_goals_against_avg,REAL,opponent_pre_match,False
opp_season_shots_for_avg,REAL,opponent_pre_match,False
opp_season_shots_against_avg,REAL,opponent_pre_match,False
opp_season_shots_on_target_for_avg,REAL,opponent_pre_match,False
opp_season_shots_on_target_against_avg,REAL,opponent_pre_match,False
opp_season_fouls_committed_avg,REAL,opponent_pre_match,False
opp_season_fouls_suffered_avg,REAL,opponent_pre_match,False
opp_season_corners_for_avg,REAL,opponent_pre_match,False
opp_season_corners_against_avg,REAL,opponent_pre_match,False
opp_season_yellow_cards_avg,REAL,opponent_pre_match,False
opp_season_yellow_cards_opponent_avg,REAL,opponent_pre_match,False
opp_season_red_cards_avg,REAL,opponent_pre_match,False
opp_season_xg_for_avg,REAL,opponent_pre_match,False
opp_season_xg_against_avg,REAL,opponent_pre_match,False
opp_venue_matches_before,INTEGER,opponent_pre_match,False
opp_venue_goals_for_avg,REAL,opponent_pre_match,False
opp_venue_goals_against_avg,REAL,opponent_pre_match,False
opp_venue_shots_for_avg,REAL,opponent_pre_match,False
opp_venue_shots_against_avg,REAL,opponent_pre_match,False
opp_venue_shots_on_target_for_avg,REAL,opponent_pre_match,False
opp_venue_shots_on_target_against_avg,REAL,opponent_pre_match,False
opp_venue_fouls_committed_avg,REAL,opponent_pre_match,False
opp_venue_fouls_suffered_avg,REAL,opponent_pre_match,False
opp_venue_corners_for_avg,REAL,opponent_pre_match,False
opp_venue_corners_against_avg,REAL,opponent_pre_match,False
opp_venue_yellow_cards_avg,REAL,opponent_pre_match,False
opp_venue_xg_for_avg,REAL,opponent_pre_match,False
opp_venue_xg_against_avg,REAL,opponent_pre_match,False
opp_last3_points_avg,REAL,opponent_pre_match,False
opp_last3_goals_for_avg,REAL,opponent_pre_match,False
opp_last3_goals_against_avg,REAL,opponent_pre_match,False
opp_last3_shots_for_avg,REAL,opponent_pre_match,False
opp_last3_shots_against_avg,REAL,opponent_pre_match,False
opp_last3_shots_on_target_for_avg,REAL,opponent_pre_match,False
opp_last3_shots_on_target_against_avg,REAL,opponent_pre_match,False
opp_last3_fouls_committed_avg,REAL,opponent_pre_match,False
opp_last3_fouls_suffered_avg,REAL,opponent_pre_match,False
opp_last3_corners_for_avg,REAL,opponent_pre_match,False
opp_last3_corners_against_avg,REAL,opponent_pre_match,False
opp_last3_yellow_cards_avg,REAL,opponent_pre_match,False
opp_last3_yellow_cards_opponent_avg,REAL,opponent_pre_match,False
opp_last3_xg_for_avg,REAL,opponent_pre_match,False
opp_last3_xg_against_avg,REAL,opponent_pre_match,False
opp_last5_points_avg,REAL,opponent_pre_match,False
opp_last5_goals_for_avg,REAL,opponent_pre_match,False
opp_last5_goals_against_avg,REAL,opponent_pre_match,False
opp_last5_shots_for_avg,REAL,opponent_pre_match,False
opp_last5_shots_against_avg,REAL,opponent_pre_match,False
