feature,importance
opp_season_fouls_suffered_avg,0.06175949679368707
season_fouls_committed_avg,0.05824910315211933
opp_pl_last5_fouls_suffered_avg,0.05607768074337139
opp_last10_fouls_suffered_avg,0.05494283948624421
h2h_fouls_committed_avg_before,0.0459195610537646
opp_last5_fouls_suffered_avg,0.045262897019962445
last10_fouls_committed_avg,0.04507775525893014
pl_last5_fouls_committed_avg,0.04128810348075075
opp_venue_fouls_suffered_avg,0.04095566954715412
h2h_last3_fouls_committed_avg_before,0.038344594475694056
last5_fouls_committed_avg,0.03793470657461025
opp_last3_fouls_suffered_avg,0.031686762409306984
last3_fouls_committed_avg,0.030407327134062353
venue_fouls_committed_avg,0.030215074272154644
referee_pl_total_fouls_avg_before,0.026870041625839853
pl_last20_league_total_fouls_avg_before,0.022802371686629606
referee_pl_last10_total_fouls_avg_before,0.021859591852927043
league_total_fouls_avg_before,0.021291733238066476
home_fouls_avg_before,0.021132761828687917
away_fouls_avg_before,0.02107304450855214
opp_season_fouls_committed_avg,0.020316041349189313
venue_fouls_suffered_avg,0.02018196643140231
referee_last5_total_fouls_avg_before,0.019685548004850055
opp_venue_fouls_committed_avg,0.018889337298571625
last3_fouls_suffered_avg,0.01796934210893488
pl_last5_fouls_suffered_avg,0.017525274824503643
season_fouls_suffered_avg,0.01710759256481667
days_rest,0.016602033386088576
last10_fouls_suffered_avg,0.016437171623497355
last5_fouls_suffered_avg,0.015765866144045217
referee_total_fouls_avg_before,0.015335227354566057
opp_days_rest,0.01434147842474158
missingindicator_h2h_fouls_committed_avg_before,0.008791806577082463
missingindicator_h2h_last3_fouls_committed_avg_before,0.008610503714551413
missingindicator_referee_total_fouls_avg_before,0.0051464268517920735
missingindicator_referee_last5_total_fouls_avg_before,0.005054059491179822
missingindicator_venue_fouls_committed_avg,0.0015420927381974855
missingindicator_opp_pl_last5_fouls_suffered_avg,0.0014781725539465634
missingindicator_venue_fouls_suffered_avg,0.0013676745305510724
missingindicator_opp_venue_fouls_suffered_avg,0.0010777769004830413
missingindicator_opp_venue_fouls_committed_avg,0.0009331395183455496
missingindicator_pl_last5_fouls_suffered_avg,0.0004807232127788319
missingindicator_pl_last5_fouls_committed_avg,0.00036602557288963706
missingindicator_referee_pl_total_fouls_avg_before,0.00028694963607498787
missingindicator_referee_pl_last10_total_fouls_avg_before,0.00023391488535340048
missingindicator_last5_fouls_committed_avg,0.00015772978266796617
missingindicator_season_fouls_committed_avg,0.00014940736121545764
missingindicator_opp_last10_fouls_suffered_avg,0.00014698775375944164
missingindicator_last3_fouls_committed_avg,0.00011405104629553302
missingindicator_opp_days_rest,0.00010583025463401938
missingindicator_opp_last5_fouls_suffered_avg,9.312833997272283e-05
missingindicator_last3_fouls_suffered_avg,7.946349793203094e-05
missingindicator_last10_fouls_committed_avg,7.497510870701176e-05
missingindicator_last5_fouls_suffered_avg,7.30313461592734e-05
missingindicator_season_fouls_suffered_avg,7.186940046526048e-05
missingindicator_days_rest,6.236354145905657e-05
missingindicator_opp_season_fouls_committed_avg,5.128511615981371e-05
missingindicator_opp_season_fouls_suffered_avg,5.053407976419204e-05
missingindicator_opp_last3_fouls_suffered_avg,4.782392766196611e-05
missingindicator_last10_fouls_suffered_avg,3.9937788042145543e-05
missingindicator_away_fouls_avg_before,4.31981415513979e-06
missingindicator_home_fouls_avg_before,0.0
missingindicator_league_total_fouls_avg_before,0.0
missingindicator_pl_last20_league_total_fouls_avg_before,0.0
